Value,Disaggregation combinations using this value,Number of indicators
C01,6,5
C02,1,1
C03,5,4
C04,29,5
C05,4,3
C06,5,4
C07,5,4
C08,5,4
C09,3,2
C10,3,2
C11,4,3
C120,1,1
C178,1,1
C180,1,1
C192,1,1
C204,1,1
C214,1,1
C226,1,1
C24,1,1
C250,1,1
C254,1,1
C266,1,1
C276,1,1
C288,1,1
C320,1,1
C324,1,1
C328,1,1
C340,1,1
C372,1,1
C384,1,1
C388,1,1
C430,1,1
C44,1,1
C484,1,1
C504,1,1
C516,2,1
C558,1,1
C566,1,1
C591,1,1
C620,1,1
C624,1,1
C630,1,1
C678,1,1
C694,1,1
C724,1,1
C732,1,1
C740,1,1
C76,1,1
C768,1,1
C780,1,1
C826,1,1
C84,1,1
C840,1,1
C862,1,1
None,38,4
