Value,Disaggregation combinations using this value,Number of indicators
Angola,1,1
Bahamas,1,1
Belize,1,1
Benguela,4,3
Benin,1,1
Borges,1,1
Brazil,1,1
Cabinda,3,3
Cais de Carvão,1,1
Cameroon,1,1
Congo,1,1
Cuba,1,1
Côte d'Ivoire,1,1
Democratic Republic of the Congo,1,1
Dominican Republic,1,1
Equatorial Guinea,1,1
Ferrovia,1,1
Floresta,1,1
France,1,1
French Guiana,1,1
Gabon,1,1
Germany,1,1
Ghana,1,1
Guatemala,1,1
Guinea-Bissau,1,1
Guinea,1,1
Guyana,1,1
Honduras,1,1
Huambo,3,2
Ireland,1,1
Jamaica,1,1
Liberia,1,1
Luanda,5,4
Lubango,4,3
Luena,4,3
Malanje,4,3
Menongue,3,2
Mexico,1,1
Morocco,1,1
Namibia,2,1
N'dalatando,3,2
Nicaragua,1,1
Nigeria,1,1
Panama,1,1
"PLANO DE ORDENAMENTO DO ESPAÃ‡O MARINHO (2023), https://www.mspglobal2030.org/msp-roadmap/msp-around-the-world/africa/angola/",1,1
Ponte Cais de Carvão,1,1
Ponte do L.Borges,1,1
Porto Pesqueiro,1,1
Portugal,1,1
Puerto Rico,1,1
Remaining mountain area,25,1
Sao Tome and Principe,1,1
Saurimo,4,3
Sierra Leone,1,1
Spain,1,1
Suriname,1,1
Togo,1,1
Trinidad and Tobago,1,1
United Kingdom of Great Britain and Northern Ireland,1,1
United States of America,1,1
Venezuela (Bolivarian Republic of),1,1
Western Sahara,1,1
