Value,Disaggregation combinations using this value,Number of indicators
0.3,1,1
0.4,1,1
0.5,1,1
0.6,1,1
0.92013,1,1
1162.2,1,1
116.7182,1,1
12.5,1,1
12.8,1,1
12.9,1,1
132.10612,1,1
1357.3,1,1
141.2,1,1
14.4,1,1
14.5,1,1
16.2,1,1
2.1,2,2
214,1,1
2.2,1,1
220.5,1,1
24.7,1,1
2.4,1,1
2502.4,1,1
26.3,1,1
27.2,1,1
2.99243,1,1
31.34194,1,1
32.7,1,1
3.64,1,1
36.7,1,1
39.5,1,1
42.3,1,1
4.3,1,1
4301,1,1
43.5975,1,1
4.8,1,1
5.4,1,1
65.8,1,1
65.92539,1,1
6.61,1,1
6.8,1,1
7,2,1
7.27,1,1
7.4,1,1
75.9,1,1
7.62,1,1
7.87,1,1
9.78744,1,1
