Value,Disaggregation combinations using this value,Number of indicators
2000-2010,1,1
2000-2018,2,1
2000-2021,4,1
2006,1,1
2010-2017,2,1
2010-2020,9,3
2010-2021,5,1
2010-2022,37,1
2010,2,2
2012,1,1
2013-2016,2,1
2014-2024,1,1
2014,25,5
2015-16,15,4
2015-2016,7,3
2015 - 2016,1,1
2015,283,3
2016-2018,2,1
2016,33,12
2017-2021,11,1
2017,15,3
2018-2022,8,2
2018-2024,1,1
2018,47,16
2019-2023,4,1
2019,32,13
2020-2021,7,1
2020-2022,3,1
2020-2023,1,1
2020-2024,4,1
2020,105,17
2021,133,18
2022-2022,3,1
2022-2024,14,2
2022,174,31
2023,322,58
2024,54,24
2025,13,2
31 December 2024,1,1
