Value,Disaggregation combinations using this value,Number of indicators
0.93909,1,1
10.4,1,1
10.89,1,1
12.4,1,1
1.6,1,1
1668.1,1,1
17.6,1,1
18.6,1,1
1878.4,1,1
2,1,1
2.3,1,1
286.36152,1,1
287.1,2,1
30.0075,1,1
31.34194,1,1
33.3,1,1
337,1,1
35.1,1,1
35.3,1,1
353.98612,1,1
3560.4,1,1
37.5,1,1
38.8,1,1
5.06695,1,1
520,1,1
53.2,1,1
56,1,1
5.62,1,1
5.6,1,1
58.9,1,1
6075,1,1
62.3,1,1
623,1,1
6.3,1,1
63.1,1,1
64.5,1,1
65.92539,1,1
71.6025,1,1
7.57,1,1
7.59,1,1
8.16,1,1
8.5,2,1
8.6,1,1
8.7,1,1
9.1,1,1
94,1,1
9.7,1,1
9.78744,1,1
