Year,OBS_STATUS,UNIT_MULT,BASE_PER,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,2017,"Accessed September 19, 2024. Based on data from IDREA. Estimated from unit-record consumption data.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,24,None,None,None,PT,2025-05-20T00:00:00,2018,21.4
2008,A,0,2017,"Accessed September 19, 2024. Based on data from IDREA. Estimated from unit-record consumption data.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,24,None,None,None,PT,2025-05-20T00:00:00,2018,14.6
2018,A,0,2017,"Accessed September 19, 2024. Based on data from IDREA. Estimated from unit-record consumption data.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,24,None,None,None,PT,2025-05-20T00:00:00,2018,31.1
2018,A,0,2017,"Accessed September 19, 2024. Survey name: IDREA. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,24,None,None,R,PT,2025-05-20T00:00:00,2018,53.48284
2018,A,0,2017,"Accessed September 19, 2024. Survey name: IDREA. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,24,None,None,U,PT,2025-05-20T00:00:00,2018,16.72019
2018,A,0,2017,"Accessed September 19, 2024. Survey name: IDREA. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,24,None,Y_GE65,None,PT,2025-05-20T00:00:00,2018,27.29837
2018,A,0,2017,"Accessed September 19, 2024. Survey name: IDREA. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,24,None,Y0T14,None,PT,2025-05-20T00:00:00,2018,36.30024
2018,A,0,2017,"Accessed September 19, 2024. Survey name: IDREA. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,24,None,Y15T64,None,PT,2025-05-20T00:00:00,2018,25.68851
2018,A,0,2017,"Accessed September 19, 2024. Survey name: IDREA. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,24,F,None,None,PT,2025-05-20T00:00:00,2018,31.4476
2018,A,0,2017,"Accessed September 19, 2024. Survey name: IDREA. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",SI_POV_DAY1,24,M,None,None,PT,2025-05-20T00:00:00,2018,30.63079
