Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2019,A,0,Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST,24,None,T,2025-03-25T00:00:00,2022,4547186.129
2022,A,0,Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST,24,None,T,2025-03-25T00:00:00,2022,4624567.398
2019,A,0,Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST,24,FWS_HHS,T,2025-03-25T00:00:00,2022,3169522.895
2022,A,0,Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST,24,FWS_HHS,T,2025-03-25T00:00:00,2022,3171950.329
2019,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST,24,FWS_OOHC,T,2025-03-25T00:00:00,2022,879908.2675
2022,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST,24,FWS_OOHC,T,2025-03-25T00:00:00,2022,1108181.402
2019,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST,24,FWS_RTL,T,2025-03-25T00:00:00,2022,497754.9671
2022,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST,24,FWS_RTL,T,2025-03-25T00:00:00,2022,344435.6669
2019,A,0,Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,24,None,KG,2025-03-25T00:00:00,2022,140.54658
2022,A,0,Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,24,None,KG,2025-03-25T00:00:00,2022,129.94378
2019,A,0,Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,24,FWS_HHS,KG,2025-03-25T00:00:00,2022,97.96511
2022,A,0,Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,24,FWS_HHS,KG,2025-03-25T00:00:00,2022,89.1273
2019,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,24,FWS_OOHC,KG,2025-03-25T00:00:00,2022,27.19662
2022,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,24,FWS_OOHC,KG,2025-03-25T00:00:00,2022,31.13832
2019,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,24,FWS_RTL,KG,2025-03-25T00:00:00,2022,15.38485
2022,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,24,FWS_RTL,KG,2025-03-25T00:00:00,2022,9.67815
