Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,A,0,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",BX_TRF_PWKR,24,PT,2025-03-19T00:00:00,2023,0.0
2006,A,0,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",BX_TRF_PWKR,24,PT,2025-03-19T00:00:00,2023,0.0
2007,A,0,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",BX_TRF_PWKR,24,PT,2025-03-19T00:00:00,2023,0.0
2008,A,0,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",BX_TRF_PWKR,24,PT,2025-03-19T00:00:00,2023,0.0927097781758097
2009,A,0,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",BX_TRF_PWKR,24,PT,2025-03-19T00:00:00,2023,0.0002309272859929
2010,A,0,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",BX_TRF_PWKR,24,PT,2025-03-19T00:00:00,2023,0.0214464794672161
2011,A,0,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",BX_TRF_PWKR,24,PT,2025-03-19T00:00:00,2023,0.0001831573147506
2012,A,0,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",BX_TRF_PWKR,24,PT,2025-03-19T00:00:00,2023,0.031509516005949
2013,A,0,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",BX_TRF_PWKR,24,PT,2025-03-19T00:00:00,2023,0.0276844929710311
2014,A,0,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",BX_TRF_PWKR,24,PT,2025-03-19T00:00:00,2023,0.0227784420031692
2015,A,0,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",BX_TRF_PWKR,24,PT,2025-03-19T00:00:00,2023,0.0122819350619397
2016,A,0,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",BX_TRF_PWKR,24,PT,2025-03-19T00:00:00,2023,0.0075586166415695
2017,A,0,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",BX_TRF_PWKR,24,PT,2025-03-19T00:00:00,2023,0.0019245390923365
2018,A,0,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",BX_TRF_PWKR,24,PT,2025-03-19T00:00:00,2023,0.0019877073246295
2019,A,0,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",BX_TRF_PWKR,24,PT,2025-03-19T00:00:00,2023,0.0048597637150954
2020,A,0,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",BX_TRF_PWKR,24,PT,2025-03-19T00:00:00,2023,0.0166036941792851
2021,A,0,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",BX_TRF_PWKR,24,PT,2025-03-19T00:00:00,2023,0.0189927443523619
2022,A,0,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",BX_TRF_PWKR,24,PT,2025-03-19T00:00:00,2023,0.0134152542495911
2023,A,0,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",BX_TRF_PWKR,24,PT,2025-03-19T00:00:00,2023,0.0142253065914011
