Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,None,None,PT,2025-03-24T00:00:00,2022-2024,55.0
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,None,None,PT,2025-03-24T00:00:00,2022-2024,63.8
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,None,None,PT,2025-03-24T00:00:00,2022-2024,66.3
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,None,None,PT,2025-03-24T00:00:00,2022-2024,65.8
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,None,None,PT,2025-03-24T00:00:00,2022-2024,64.0
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,None,None,PT,2025-03-24T00:00:00,2022-2024,61.9
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,None,None,PT,2025-03-24T00:00:00,2022-2024,62.7
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,None,None,PT,2025-03-24T00:00:00,2022-2024,63.3
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,55.4
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,64.3
2017,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,66.8
2018,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,66.3
2019,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,64.5
2020,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,62.4
2021,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,63.2
2022,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,F,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,64.2
2015,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,M,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,54.6
2016,O,0,NaN = A figure was not provided,,,NA,AG_PRD_FIESMS,204,M,Y_GE15,PT,2025-03-24T00:00:00,2022-2024,63.4
