Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2002,A,0,Angola 2015-2016 Demographic and Health Survey,SP_DYN_ADKL,24,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2013-2016,14.63857
2003,A,0,Angola 2015-2016 Demographic and Health Survey,SP_DYN_ADKL,24,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2013-2016,12.02714
2004,A,0,Angola 2015-2016 Demographic and Health Survey,SP_DYN_ADKL,24,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2013-2016,6.625392
2005,A,0,Angola 2015-2016 Demographic and Health Survey,SP_DYN_ADKL,24,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2013-2016,6.913016
2006,A,0,Angola 2015-2016 Demographic and Health Survey,SP_DYN_ADKL,24,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2013-2016,12.77036
2008,A,0,Angola 2015-2016 Demographic and Health Survey,SP_DYN_ADKL,24,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2013-2016,11.319736
2009,A,0,Angola 2015-2016 Demographic and Health Survey,SP_DYN_ADKL,24,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2013-2016,6.096241
2011,A,0,Angola 2015-2016 Demographic and Health Survey,SP_DYN_ADKL,24,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2013-2016,10.321847
2013,A,0,Angola 2015-2016 Demographic and Health Survey,SP_DYN_ADKL,24,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2013-2016,10.63979
2014,A,0,Angola 2015-2016 Demographic and Health Survey,SP_DYN_ADKL,24,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2013-2016,10.66322
2002,A,0,Angola 2015-2016 Demographic and Health Survey,SP_DYN_ADKL,24,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2013-2016,149.518402
2003,A,0,Angola 2015-2016 Demographic and Health Survey,SP_DYN_ADKL,24,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2013-2016,150.882492
2004,A,0,Angola 2015-2016 Demographic and Health Survey,SP_DYN_ADKL,24,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2013-2016,157.768616
2005,A,0,Angola 2015-2016 Demographic and Health Survey,SP_DYN_ADKL,24,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2013-2016,165.636642
2006,A,0,Angola 2015-2016 Demographic and Health Survey,SP_DYN_ADKL,24,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2013-2016,171.916306
2008,A,0,Angola 2015-2016 Demographic and Health Survey,SP_DYN_ADKL,24,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2013-2016,187.895279
2009,A,0,Angola 2015-2016 Demographic and Health Survey,SP_DYN_ADKL,24,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2013-2016,190.869141
2011,A,0,Angola 2015-2016 Demographic and Health Survey,SP_DYN_ADKL,24,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2013-2016,169.095306
2013,A,0,Angola 2015-2016 Demographic and Health Survey,SP_DYN_ADKL,24,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2013-2016,166.100327
2014,A,0,Angola 2015-2016 Demographic and Health Survey,SP_DYN_ADKL,24,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2013-2016,162.652008
