Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,2,0.4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,24,None,PER_100000_POP,2025-03-06T00:00:00,2021,1.4
2005,A,0,2,0.4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,24,None,PER_100000_POP,2025-03-06T00:00:00,2021,1.3
2010,A,0,2,0.4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,24,None,PER_100000_POP,2025-03-06T00:00:00,2021,1.2
2015,A,0,2,0.4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,24,None,PER_100000_POP,2025-03-06T00:00:00,2021,1.0
2019,A,0,2,0.4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,24,None,PER_100000_POP,2025-03-06T00:00:00,2021,1.0
2020,A,0,2,0.4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,24,None,PER_100000_POP,2025-03-06T00:00:00,2021,1.0
2021,A,0,2,0.4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,24,None,PER_100000_POP,2025-03-06T00:00:00,2021,1.0
2000,A,0,1.6,0.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,24,F,PER_100000_POP,2025-03-06T00:00:00,2021,0.9
2005,A,0,1.6,0.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,24,F,PER_100000_POP,2025-03-06T00:00:00,2021,0.8
2010,A,0,1.6,0.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,24,F,PER_100000_POP,2025-03-06T00:00:00,2021,0.9
2015,A,0,1.6,0.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,24,F,PER_100000_POP,2025-03-06T00:00:00,2021,0.8
2019,A,0,1.6,0.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,24,F,PER_100000_POP,2025-03-06T00:00:00,2021,0.8
2020,A,0,1.6,0.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,24,F,PER_100000_POP,2025-03-06T00:00:00,2021,0.8
2021,A,0,1.6,0.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,24,F,PER_100000_POP,2025-03-06T00:00:00,2021,0.8
2000,A,0,2.3,0.5,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,24,M,PER_100000_POP,2025-03-06T00:00:00,2021,2.0
2005,A,0,2.3,0.5,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,24,M,PER_100000_POP,2025-03-06T00:00:00,2021,1.7
2010,A,0,2.3,0.5,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,24,M,PER_100000_POP,2025-03-06T00:00:00,2021,1.5
2015,A,0,2.3,0.5,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,24,M,PER_100000_POP,2025-03-06T00:00:00,2021,1.2
2019,A,0,2.3,0.5,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,24,M,PER_100000_POP,2025-03-06T00:00:00,2021,1.2
2020,A,0,2.3,0.5,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,24,M,PER_100000_POP,2025-03-06T00:00:00,2021,1.2
2021,A,0,2.3,0.5,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_POISN,24,M,PER_100000_POP,2025-03-06T00:00:00,2021,1.2
