Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,None,None,ISCED11_1,PT,2025-03-05T00:00:00,2015,,59.95566
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,None,None,ISCED11_2,PT,2025-03-05T00:00:00,2015,,36.59349
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,None,None,ISCED11_3,PT,2025-03-05T00:00:00,2015,,18.74578
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,None,Q1,ISCED11_1,PT,2025-03-05T00:00:00,2015,,18.8034
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,None,Q1,ISCED11_2,PT,2025-03-05T00:00:00,2015,,4.11117
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,None,Q1,ISCED11_3,PT,2025-03-05T00:00:00,2015,,1.46105
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,None,Q2,ISCED11_1,PT,2025-03-05T00:00:00,2015,,30.39079
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,None,Q2,ISCED11_2,PT,2025-03-05T00:00:00,2015,,7.47371
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,None,Q2,ISCED11_3,PT,2025-03-05T00:00:00,2015,,1.53366
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,None,Q3,ISCED11_1,PT,2025-03-05T00:00:00,2015,,60.99935
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,None,Q3,ISCED11_2,PT,2025-03-05T00:00:00,2015,,24.34371
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,None,Q3,ISCED11_3,PT,2025-03-05T00:00:00,2015,,5.68855
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,None,Q4,ISCED11_1,PT,2025-03-05T00:00:00,2015,,76.99664
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,None,Q4,ISCED11_2,PT,2025-03-05T00:00:00,2015,,47.69392
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,None,Q4,ISCED11_3,PT,2025-03-05T00:00:00,2015,,20.14041
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,None,Q5,ISCED11_1,PT,2025-03-05T00:00:00,2015,,89.00835
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,None,Q5,ISCED11_2,PT,2025-03-05T00:00:00,2015,,72.022
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,None,Q5,ISCED11_3,PT,2025-03-05T00:00:00,2015,,50.21114
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,R,None,ISCED11_1,PT,2025-03-05T00:00:00,2015,,27.18701
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,R,None,ISCED11_2,PT,2025-03-05T00:00:00,2015,,9.06534
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,R,None,ISCED11_3,PT,2025-03-05T00:00:00,2015,,3.59802
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,R,Q1,ISCED11_1,PT,2025-03-05T00:00:00,2015,,19.12815
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,R,Q1,ISCED11_2,PT,2025-03-05T00:00:00,2015,,4.26299
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,R,Q1,ISCED11_3,PT,2025-03-05T00:00:00,2015,,1.49554
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,R,Q2,ISCED11_1,PT,2025-03-05T00:00:00,2015,,27.8349
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,R,Q2,ISCED11_2,PT,2025-03-05T00:00:00,2015,,7.36303
2015,A,0,Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,24,None,R,Q2,ISCED11_3,PT,2025-03-05T00:00:00,2015,,1.88615
