Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,42.86652
2001,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,41.41483
2002,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,39.95439
2003,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,38.48664
2004,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,37.01115
2005,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,35.53137
2006,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,34.24673
2007,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,32.95845
2008,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,31.66558
2009,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,30.37016
2010,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,29.07074
2011,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,27.76785
2012,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,26.46207
2013,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,25.15397
2014,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,23.84309
2015,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,22.53427
2016,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,21.2266
2017,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,19.92074
2018,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,18.67839
2019,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,18.31929
2020,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,17.96832
2021,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,17.62439
2022,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,None,PT,2023-09-12T00:00:00,2022,17.28805
2000,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,66.71371
2001,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,66.0164
2002,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,65.3191
2003,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,64.62179
2004,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,63.92449
2005,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,63.22719
2006,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,62.52988
2007,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,61.83258
2008,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,61.13528
2009,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,60.43797
2010,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,59.74067
2011,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,59.04337
2012,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,58.34606
2013,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,57.64876
2014,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,56.95145
2015,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,56.25415
2016,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,55.55685
2017,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,54.85954
2018,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,54.16224
2019,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,54.16224
2020,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,54.16224
2021,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,54.16224
2022,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,R,PT,2023-09-12T00:00:00,2022,54.16224
2000,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,19.10217
2001,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,18.03581
2002,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,16.96945
2003,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,15.90309
2004,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,14.83673
2005,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,13.77037
2006,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,12.70401
2007,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,11.63765
2008,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,10.57129
2009,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,9.50493
2010,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,8.43858
2011,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,7.37222
2012,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,6.30586
2013,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,5.2395
2014,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,4.17314
2015,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,3.10678
2016,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,2.04042
2017,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,0.97406
2018,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,0.0
2019,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,0.0
2020,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,0.0
2021,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_DEFECT,24,U,PT,2023-09-12T00:00:00,2022,0.0
