Year,OBS_STATUS,UNIT_MULT,BASE_PER,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,2.64
2001,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,2.62
2002,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,2.39
2003,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,2.48
2004,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,2.25
2005,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,1.85
2006,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,1.85
2007,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,1.79
2008,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,1.78
2009,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,1.93
2010,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,1.84
2011,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,1.84
2012,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,1.93
2013,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,1.84
2014,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,1.6
2015,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,1.9
2016,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,1.79
2017,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,1.84
2018,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,1.7
2019,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,1.81
2020,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,1.86
2021,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,1.98
2022,A,0,2021,"IEA (2024), World Energy Balances",EG_EGY_PRIM,24,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,2022,1.98
