Year,OBS_STATUS,UNIT_MULT,BASE_PER,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.61
2001,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.81
2002,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.57
2003,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.59
2004,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.84
2005,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.56
2006,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,5.98
2007,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,5.58
2008,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,5.15
2009,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,5.3
2010,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,5.56
2011,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,5.87
2012,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,5.91
2013,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,5.97
2014,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,5.12
2015,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,5.69
2016,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,6.51
2017,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,6.6
2018,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,6.73
2019,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,6.43
2020,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,7.0
2021,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,6.97
2022,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,6.93
2023,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,6.95
2024,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,24,ISIC4_C,PT,2025-02-26T00:00:00,2024,7.09
2000,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,2.89
2001,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,3.87
2002,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,3.66
2003,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,4.0
2004,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,4.68
2005,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,3.91
2006,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,4.22
2007,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,5.31
2008,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,3.82
2009,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,5.85
2010,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,5.01
2011,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,4.51
2012,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,4.76
2013,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,5.18
2014,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,4.76
2015,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,5.69
2016,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.75
2017,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.58
2018,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.06
2019,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.14
2020,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,7.06
2021,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.6
2022,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,7.45
2023,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,24,ISIC4_C,PT,2025-02-27T00:00:00,2023,7.99
2000,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,114.16
2001,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,118.9
2002,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,24,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,124.91
