Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,AGE,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,A,0,"Data source: IIMS 2015-2016 ; Topics included: health, education, employment, and quality of life; Overall number of indicators: 16; Official publication: Pobreza Multidimensional em Angola",Instituto Nacional de Estatística,SD_MDP_ANDI,24,None,None,PT,2025-03-21T00:00:00,2015,48.9
2015,A,0,"Data source: IIMS 2015-2016 ; Topics included: health, education, employment, and quality of life; Overall number of indicators: 16; Official publication: Pobreza Multidimensional em Angola",Instituto Nacional de Estatística,SD_MDP_ANDI,24,None,R,PT,2025-03-21T00:00:00,2015,52.8
2015,A,0,"Data source: IIMS 2015-2016 ; Topics included: health, education, employment, and quality of life; Overall number of indicators: 16; Official publication: Pobreza Multidimensional em Angola",Instituto Nacional de Estatística,SD_MDP_ANDI,24,None,U,PT,2025-03-21T00:00:00,2015,43.4
2015,A,0,"Data source: the Angola Multiple Indicators and Health Survey (IIMS) 2015-2016; Topics included: Health, Infrastructure, Dwelling characteristics, Information, Protection, Prevention; Overall number of indicators: 12; Official publication: Childhood in Angola - A Multidimensional Analysis of Child Poverty/; Number of deprivations: At least 3 or more",National Statistics Institute (INE) of Angola,SD_MDP_CSMP,24,Y0T17,None,PT,2024-03-21T00:00:00,2015,74.4
2015,A,0,"Data source: the Angola Multiple Indicators and Health Survey (IIMS) 2015-2016; Topics included: Health, Infrastructure, Dwelling characteristics, Information, Protection, Prevention; Overall number of indicators: 12; Official publication: Childhood in Angola - A Multidimensional Analysis of Child Poverty/; Number of deprivations: At least 3 or more",National Statistics Institute (INE) of Angola,SD_MDP_CSMP,24,Y0T17,R,PT,2024-03-21T00:00:00,2015,99.0
2015,A,0,"Data source: the Angola Multiple Indicators and Health Survey (IIMS) 2015-2016; Topics included: Health, Infrastructure, Dwelling characteristics, Information, Protection, Prevention; Overall number of indicators: 12; Official publication: Childhood in Angola - A Multidimensional Analysis of Child Poverty/; Number of deprivations: At least 3 or more",National Statistics Institute (INE) of Angola,SD_MDP_CSMP,24,Y0T17,U,PT,2024-03-21T00:00:00,2015,61.7
2015,A,0,"Data source: IIMS 2015-2016 ; Topics included: health, education, employment, and quality of life; Overall number of indicators: 16; Official publication: Pobreza Multidimensional em Angola",Instituto Nacional de Estatística,SD_MDP_MUHC,24,None,None,PT,2025-03-20T00:00:00,2015,54.0
2015,A,0,"Data source: IIMS 2015-2016 ; Topics included: health, education, employment, and quality of life; Overall number of indicators: 16; Official publication: Pobreza Multidimensional em Angola",Instituto Nacional de Estatística,SD_MDP_MUHC,24,None,R,PT,2025-03-20T00:00:00,2015,87.8
2015,A,0,"Data source: IIMS 2015-2016 ; Topics included: health, education, employment, and quality of life; Overall number of indicators: 16; Official publication: Pobreza Multidimensional em Angola",Instituto Nacional de Estatística,SD_MDP_MUHC,24,None,U,PT,2025-03-20T00:00:00,2015,35.0
2015,A,0,"Data source: IIMS 2015-2016 ; Topics included: health, education, employment, and quality of life; Overall number of indicators: 16; Official publication: Pobreza Multidimensional em Angola",Instituto Nacional de Estatística,SD_MDP_MUHC,24,Y0T9,None,PT,2025-03-20T00:00:00,2015,64.3
