Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BP,24,None,None,PT,2024-05-16T00:00:00,2010-2021,,98.43737
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BP,24,None,None,PT,2024-05-16T00:00:00,2010-2021,,97.19212
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BP,24,None,None,PT,2024-05-16T00:00:00,2010-2021,,98.76905
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BP,24,None,None,PT,2024-05-16T00:00:00,2010-2021,,99.32042
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BP,24,None,None,PT,2024-05-16T00:00:00,2010-2021,,99.00863
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,None,None,T,2024-05-16T00:00:00,2010-2021,,48632.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,None,None,T,2024-05-16T00:00:00,2010-2021,,50225.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,None,None,T,2024-05-16T00:00:00,2010-2021,,52877.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,None,None,T,2024-05-16T00:00:00,2010-2021,,54660.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,None,None,T,2024-05-16T00:00:00,2010-2021,,55728.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C120,None,T,2024-05-16T00:00:00,2010-2022,Cameroon,4386.0
