Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2000,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",BN_CAB_XOKA_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,8.71506351159262
2001,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",BN_CAB_XOKA_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,-16.0129513307541
2002,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",BN_CAB_XOKA_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,-0.981927174447658
2003,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",BN_CAB_XOKA_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,-4.0395824059631
2004,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",BN_CAB_XOKA_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,2.8924761959248
2005,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",BN_CAB_XOKA_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,13.8970988768413
2006,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",BN_CAB_XOKA_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,20.4078078020579
2007,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",BN_CAB_XOKA_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,16.2123974861326
2008,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",BN_CAB_XOKA_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,8.12554260460487
2009,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",BN_CAB_XOKA_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,-10.7693837286968
2010,A,0,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",BN_CAB_XOKA_GD_ZS,24,PT,2025-03-19T00:00:00,2023,,8.95704217526965
