Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,56,39.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,None,Y0T4,PT,2025-03-27T00:00:00,2024,47.5
2001,A,0,56,39.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,None,Y0T4,PT,2025-03-27T00:00:00,2024,44.9
2002,A,0,56,39.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,None,Y0T4,PT,2025-03-27T00:00:00,2024,42.4
2003,A,0,56,39.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,None,Y0T4,PT,2025-03-27T00:00:00,2024,40.0
2004,A,0,56,39.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,None,Y0T4,PT,2025-03-27T00:00:00,2024,37.8
2005,A,0,56,39.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,None,Y0T4,PT,2025-03-27T00:00:00,2024,35.9
2006,A,0,56,39.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,None,Y0T4,PT,2025-03-27T00:00:00,2024,34.2
2007,A,0,56,39.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,None,Y0T4,PT,2025-03-27T00:00:00,2024,32.8
2008,A,0,56,39.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,None,Y0T4,PT,2025-03-27T00:00:00,2024,31.7
2009,A,0,56,39.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,24,None,Y0T4,PT,2025-03-27T00:00:00,2024,31.1
