Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,520,214,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,24,PER_100000_POP,2025-01-17T00:00:00,2023,297
2001,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,520,214,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,24,PER_100000_POP,2025-01-17T00:00:00,2023,308
2002,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,520,214,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,24,PER_100000_POP,2025-01-17T00:00:00,2023,320
2003,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,520,214,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,24,PER_100000_POP,2025-01-17T00:00:00,2023,334
2004,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,520,214,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,24,PER_100000_POP,2025-01-17T00:00:00,2023,350
2005,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,520,214,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,24,PER_100000_POP,2025-01-17T00:00:00,2023,368
2006,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,520,214,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,24,PER_100000_POP,2025-01-17T00:00:00,2023,377
2007,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,520,214,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,24,PER_100000_POP,2025-01-17T00:00:00,2023,379
2008,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,520,214,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,24,PER_100000_POP,2025-01-17T00:00:00,2023,382
2009,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,520,214,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,24,PER_100000_POP,2025-01-17T00:00:00,2023,385
2010,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,520,214,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,24,PER_100000_POP,2025-01-17T00:00:00,2023,384
2011,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,520,214,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,24,PER_100000_POP,2025-01-17T00:00:00,2023,383
2012,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,520,214,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,24,PER_100000_POP,2025-01-17T00:00:00,2023,380
2013,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,520,214,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,24,PER_100000_POP,2025-01-17T00:00:00,2023,376
2014,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,520,214,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,24,PER_100000_POP,2025-01-17T00:00:00,2023,370
2015,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,520,214,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,24,PER_100000_POP,2025-01-17T00:00:00,2023,366
2016,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,520,214,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,24,PER_100000_POP,2025-01-17T00:00:00,2023,362
2017,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,520,214,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,24,PER_100000_POP,2025-01-17T00:00:00,2023,359
