Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,326.10794
2001,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,329.3176
2002,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,314.71882
2003,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,319.22837
2004,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,313.17928
2005,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,314.75811
2006,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,300.65027
2007,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,270.40761
2008,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,229.21929
2009,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,194.69985
2010,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,171.40751
2011,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,158.03396
2012,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,153.95751
2013,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,158.53406
2014,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,164.69243
2015,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,176.11377
2016,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,192.00862
2017,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,217.6337
2018,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,233.80451
2019,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,243.1807
2020,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,244.79967
2021,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,248.65088
2022,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,237.19815
2023,A,0,353.98612,132.10612,WMR,SH_STA_MALR,24,PER_1000_POP,2025-02-12T00:00:00,2023,224.5298
