Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,5.75013
2001,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,5.75013
2002,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,5.88698
2003,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,5.96546
2004,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,6.32706
2005,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,6.77635
2006,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,7.22159
2007,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,7.44665
2008,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,7.71133
2009,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,8.11607
2010,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,8.436
2011,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,8.65523
2012,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,8.64581
2013,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,8.74819
2014,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,8.31999
2015,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,7.75671
2016,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,7.00842
2017,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,6.654
2018,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,6.15179
2019,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,5.28511
2020,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,4.45904
2021,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,3.98151
2022,A,0,,5.06695,2.99243,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,24,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,3.98151
