Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2008,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,24,None,PT,2025-03-05T00:00:00,2016,68.72417
2009,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,24,None,PT,2025-03-05T00:00:00,2016,63.94912
2010,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,24,None,PT,2025-03-05T00:00:00,2016,58.89527
2011,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,24,None,PT,2025-03-05T00:00:00,2016,59.24679
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,24,None,PT,2025-03-05T00:00:00,2016,68.17966
2008,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,24,F,PT,2025-03-05T00:00:00,2016,61.44822
2009,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,24,F,PT,2025-03-05T00:00:00,2016,60.59724
2010,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,24,F,PT,2025-03-05T00:00:00,2016,59.73688
2011,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,24,F,PT,2025-03-05T00:00:00,2016,70.21413
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,24,F,PT,2025-03-05T00:00:00,2016,64.42507
2008,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,24,M,PT,2025-03-05T00:00:00,2016,75.98575
2009,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,24,M,PT,2025-03-05T00:00:00,2016,67.2902
2010,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,24,M,PT,2025-03-05T00:00:00,2016,58.057
2011,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,24,M,PT,2025-03-05T00:00:00,2016,48.33147
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,24,M,PT,2025-03-05T00:00:00,2016,71.90949
