Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2017,A,0,National Institute of Water Resources of the Ministry of Energy and Water,ER_H2O_IWRMD,24,PT,2025-03-21T00:00:00,2023,37
2020,A,0,National Institute of Water Resources of the Ministry of Energy and Water,ER_H2O_IWRMD,24,PT,2025-03-21T00:00:00,2023,61
2023,A,0,National Institute of Water Resources of the Ministry of Energy and Water,ER_H2O_IWRMD,24,PT,2025-03-21T00:00:00,2023,62
2017,A,0,National Institute of Water Resources of the Ministry of Energy and Water,ER_H2O_IWRMD_EE,24,PT,2024-05-08T00:00:00,2023,45
2020,A,0,National Institute of Water Resources of the Ministry of Energy and Water,ER_H2O_IWRMD_EE,24,PT,2024-05-08T00:00:00,2023,69
2023,A,0,National Institute of Water Resources of the Ministry of Energy and Water,ER_H2O_IWRMD_EE,24,PT,2024-05-08T00:00:00,2023,69
2017,A,0,National Institute of Water Resources of the Ministry of Energy and Water,ER_H2O_IWRMD_FI,24,PT,2024-05-08T00:00:00,2023,28
2020,A,0,National Institute of Water Resources of the Ministry of Energy and Water,ER_H2O_IWRMD_FI,24,PT,2024-05-08T00:00:00,2023,43
2023,A,0,National Institute of Water Resources of the Ministry of Energy and Water,ER_H2O_IWRMD_FI,24,PT,2024-05-08T00:00:00,2023,47
2017,A,0,National Institute of Water Resources of the Ministry of Energy and Water,ER_H2O_IWRMD_IP,24,PT,2024-05-08T00:00:00,2023,38
2020,A,0,National Institute of Water Resources of the Ministry of Energy and Water,ER_H2O_IWRMD_IP,24,PT,2024-05-08T00:00:00,2023,67
2023,A,0,National Institute of Water Resources of the Ministry of Energy and Water,ER_H2O_IWRMD_IP,24,PT,2024-05-08T00:00:00,2023,69
2017,A,0,National Institute of Water Resources of the Ministry of Energy and Water,ER_H2O_IWRMD_MI,24,PT,2024-05-08T00:00:00,2023,38
2020,A,0,National Institute of Water Resources of the Ministry of Energy and Water,ER_H2O_IWRMD_MI,24,PT,2024-05-08T00:00:00,2023,64
2023,A,0,National Institute of Water Resources of the Ministry of Energy and Water,ER_H2O_IWRMD_MI,24,PT,2024-05-08T00:00:00,2023,64
