Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,2.96113
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,3.20417
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,3.67037
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,3.73008
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,3.80948
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,3.86523
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,4.24893
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,4.71012
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,4.37993
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,6.52074
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,5.26691
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,5.51187
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,9.30729
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,10.06161
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,9.52672
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,8.22432
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,7.60407
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,3.80509
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,4.67126
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,4.43422
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,4.06308
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,4.08339
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,4.05638
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,None,T,2025-03-21T00:00:00,2023,,3.93628
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.38017
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.44318
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.50352
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.52455
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.54826
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.47418
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.50799
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.72406
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.66092
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,1.44787
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,1.24495
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,1.34025
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,5.71315
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,5.83267
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,5.70311
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,4.62478
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,4.10808
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.30841
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,1.22134
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,1.23216
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,1.14201
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,1.17246
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,1.17658
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3A,T,2025-03-21T00:00:00,2023,,1.15266
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.90457
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3B,T,2025-03-21T00:00:00,2023,,0.98313
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3B,T,2025-03-21T00:00:00,2023,,1.26741
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3B,T,2025-03-21T00:00:00,2023,,1.26556
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3B,T,2025-03-21T00:00:00,2023,,1.21134
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3B,T,2025-03-21T00:00:00,2023,,1.347
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3B,T,2025-03-21T00:00:00,2023,,1.68403
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3B,T,2025-03-21T00:00:00,2023,,1.72299
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3B,T,2025-03-21T00:00:00,2023,,1.51962
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3B,T,2025-03-21T00:00:00,2023,,2.28826
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3B,T,2025-03-21T00:00:00,2023,,1.28933
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3B,T,2025-03-21T00:00:00,2023,,1.28306
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,24,MF_AGG3B,T,2025-03-21T00:00:00,2023,,1.23945
