Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2004,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET,24,None,Y15T24,PT,2025-03-15T00:00:00,2022,30.96
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET,24,None,Y15T24,PT,2025-03-15T00:00:00,2022,25.81
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET,24,None,Y15T24,PT,2025-03-15T00:00:00,2022,10.01
2014,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET,24,None,Y15T24,PT,2025-03-15T00:00:00,2022,30.62
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET,24,None,Y15T24,PT,2025-03-15T00:00:00,2022,23.06
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET,24,None,Y15T24,PT,2025-03-15T00:00:00,2022,21.69
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET,24,None,Y15T24,PT,2025-03-15T00:00:00,2022,24.81
2004,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET,24,F,Y15T24,PT,2025-03-15T00:00:00,2022,38.34
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET,24,F,Y15T24,PT,2025-03-15T00:00:00,2022,30.85
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET,24,F,Y15T24,PT,2025-03-15T00:00:00,2022,12.23
2014,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET,24,F,Y15T24,PT,2025-03-15T00:00:00,2022,36.19
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET,24,F,Y15T24,PT,2025-03-15T00:00:00,2022,26.34
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET,24,F,Y15T24,PT,2025-03-15T00:00:00,2022,22.57
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET,24,F,Y15T24,PT,2025-03-15T00:00:00,2022,26.07
2004,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET,24,M,Y15T24,PT,2025-03-15T00:00:00,2022,22.37
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET,24,M,Y15T24,PT,2025-03-15T00:00:00,2022,20.26
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET,24,M,Y15T24,PT,2025-03-15T00:00:00,2022,7.61
2014,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET,24,M,Y15T24,PT,2025-03-15T00:00:00,2022,24.53
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET,24,M,Y15T24,PT,2025-03-15T00:00:00,2022,19.64
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET,24,M,Y15T24,PT,2025-03-15T00:00:00,2022,20.77
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET,24,M,Y15T24,PT,2025-03-15T00:00:00,2022,23.5
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET_19ICLS,24,None,Y15T24,PT,2025-03-15T00:00:00,2022,28.74
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET_19ICLS,24,None,Y15T24,PT,2025-03-15T00:00:00,2022,26.15
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET_19ICLS,24,None,Y15T24,PT,2025-03-15T00:00:00,2022,28.89
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET_19ICLS,24,F,Y15T24,PT,2025-03-15T00:00:00,2022,33.31
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET_19ICLS,24,F,Y15T24,PT,2025-03-15T00:00:00,2022,27.82
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET_19ICLS,24,F,Y15T24,PT,2025-03-15T00:00:00,2022,31.01
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET_19ICLS,24,M,Y15T24,PT,2025-03-15T00:00:00,2022,23.96
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET_19ICLS,24,M,Y15T24,PT,2025-03-15T00:00:00,2022,24.41
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_NEET_19ICLS,24,M,Y15T24,PT,2025-03-15T00:00:00,2022,26.7
