Year,OBS_STATUS,UNIT_MULT,BASE_PER,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,25.474916
2001,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,16.213895
2002,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,20.93092
2003,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,12.157316
2004,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,9.577462
2005,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,13.700676
2006,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,9.311144
2007,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,9.572785
2008,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,7.559871
2009,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,18.672684
2010,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,26.799796
2011,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,7.962749
2012,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,17.675654
2013,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,15.678955
2014,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,654.923183
2015,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,180.394632
2016,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,497.847753
2017,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,148.979766
2018,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,28.652519
2019,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,431.6115
2020,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,20.470753
2021,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,457.178268
2022,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,283.565406
2023,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_INFRAL,24,CON_USD,2025-05-19T00:00:00,2023,333.734629
