Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,24,None,None,KM2,2025-03-21T00:00:00,2000-2021,,7511.9
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,24,None,None,KM2,2025-03-21T00:00:00,2000-2021,,10485.2
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,24,C04,None,KM2,2025-03-21T00:00:00,2000-2021,Remaining mountain area,7511.9
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,24,C04,None,KM2,2025-03-21T00:00:00,2000-2021,Remaining mountain area,10485.2
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,24,None,None,PT,2025-03-21T00:00:00,2000-2021,,4.7
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,24,None,None,PT,2025-03-21T00:00:00,2000-2021,,6.6
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,24,C04,None,PT,2025-03-21T00:00:00,2000-2021,Remaining mountain area,4.7
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,24,C04,None,PT,2025-03-21T00:00:00,2000-2021,Remaining mountain area,6.6
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,462.0
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,573.9
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,722.8
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,929.9
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,1022.1
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,1083.6
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,1899.0
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,1902.6
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,2291.6
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,3871.3
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,4814.1
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,5442.6
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_GRS,KM2,2025-03-21T00:00:00,2021,,95097.5
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_GRS,KM2,2025-03-21T00:00:00,2021,,94709.7
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,24,None,LC_GRS,KM2,2025-03-21T00:00:00,2021,,94004.4
