Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
1993,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93327
1994,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93321
1995,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93312
1996,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93308
1997,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.933
1998,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93295
1999,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93286
2000,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93285
2001,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93274
2002,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93266
2003,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93268
2004,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93264
2005,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93255
2006,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93252
2007,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93244
2008,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93238
2009,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93236
2010,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.9323
2011,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93222
2012,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93218
2013,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93198
2014,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93176
2015,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93149
2016,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93133
2017,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93125
2018,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93115
2019,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.9311
2020,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93108
2021,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93112
2022,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.9311
2023,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93108
2024,A,0,0.93909,0.92013,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,24,IX,2025-04-17T00:00:00,2024,0.93108
