Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,OCCUPATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2024,A,0,"Unicameral: (National Assembly), No Data on Age or Gender of the chairperson, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,_U,_U,None,PC_DEFENCE,NUMBER,2025-07-10T00:00:00,2024,1.0
2024,A,0,"Unicameral: (National Assembly), No Data on Age or Gender of the chairperson, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,_U,_U,None,PC_FINANCE,NUMBER,2025-07-10T00:00:00,2024,1.0
2024,A,0,"Unicameral: (National Assembly), No Data on Age or Gender of the chairperson, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,_U,_U,None,PC_FOR_AFF,NUMBER,2025-07-10T00:00:00,2024,1.0
2021,A,0,"Unicameral: (National Assembly), No Committee, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,_X,_X,None,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2024,0.0
2022,A,0,"Unicameral: (National Assembly), No Committee, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,_X,_X,None,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2024,0.0
2023,A,0,"Unicameral: (National Assembly), No Committee, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,_X,_X,None,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2024,0.0
2024,A,0,"Unicameral: (National Assembly), No Committee, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,_X,_X,None,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2024,0.0
2025,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,F,Y_GE46,None,PC_DEFENCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2021,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,F,Y_GE46,None,PC_FINANCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2022,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,F,Y_GE46,None,PC_FINANCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2023,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,F,Y_GE46,None,PC_FINANCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2025,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,F,Y_GE46,None,PC_FINANCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2021,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,F,Y_GE46,None,PC_FOR_AFF,NUMBER,2025-07-10T00:00:00,2023,1.0
2022,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,F,Y_GE46,None,PC_FOR_AFF,NUMBER,2025-07-10T00:00:00,2023,1.0
2023,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,F,Y_GE46,None,PC_FOR_AFF,NUMBER,2025-07-10T00:00:00,2023,1.0
2025,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,F,Y_GE46,None,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2025,1.0
2021,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,M,Y_GE46,None,PC_DEFENCE,NUMBER,2025-07-10T00:00:00,2023,1.0
2022,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,M,Y_GE46,None,PC_DEFENCE,NUMBER,2025-07-10T00:00:00,2023,1.0
2023,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,M,Y_GE46,None,PC_DEFENCE,NUMBER,2025-07-10T00:00:00,2023,1.0
2025,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,M,Y_GE46,None,PC_FOR_AFF,NUMBER,2025-07-10T00:00:00,2025,1.0
2021,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,M,Y_GE46,None,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2025,1.0
2022,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,M,Y_GE46,None,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2025,1.0
2023,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,M,Y_GE46,None,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2025,1.0
2024,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,M,Y_GE46,None,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2025,1.0
2025,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,24,M,Y_GE46,None,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2025,1.0
2021,A,0,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year;  2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_LC,24,None,None,None,None,RO,2025-07-10T00:00:00,2025,0.5761
2022,A,0,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year;  2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_LC,24,None,None,None,None,RO,2025-07-10T00:00:00,2025,0.5761
2023,A,0,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year;  2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_LC,24,None,None,None,None,RO,2025-07-10T00:00:00,2025,0.6539
2024,A,0,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year;  2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_LC,24,None,None,None,None,RO,2025-07-10T00:00:00,2025,0.75111
2025,A,0,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year;  2023 population figures (revised as of July 2024), UN World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLMP_LC,24,None,None,None,None,RO,2025-07-10T00:00:00,2025,0.761718
2023,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLSP_LC,24,F,Y_GE46,None,None,NUMBER,2025-05-13T00:00:00,2025,1.0
2024,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLSP_LC,24,F,Y_GE46,None,None,NUMBER,2025-05-13T00:00:00,2025,1.0
2025,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLSP_LC,24,F,Y_GE46,None,None,NUMBER,2025-05-13T00:00:00,2025,1.0
2021,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLSP_LC,24,M,Y_GE46,None,None,NUMBER,2025-05-13T00:00:00,2022,1.0
2022,A,0,"Unicameral: (National Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLSP_LC,24,M,Y_GE46,None,None,NUMBER,2025-05-13T00:00:00,2022,1.0
2021,A,0,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYN_LC,24,None,Y0T45,None,None,NUMBER,2025-05-13T00:00:00,2025,32.0
2022,A,0,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYN_LC,24,None,Y0T45,None,None,NUMBER,2025-05-13T00:00:00,2025,32.0
2025,A,0,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYN_LC,24,None,Y0T45,None,None,NUMBER,2025-05-13T00:00:00,2025,60.0
2021,A,0,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYP_LC,24,None,Y0T45,None,None,PT,2025-05-13T00:00:00,2025,17.78
2022,A,0,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYP_LC,24,None,Y0T45,None,None,PT,2025-05-13T00:00:00,2025,17.78
2025,A,0,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year, based on available age data collected after each election","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYP_LC,24,None,Y0T45,None,None,PT,2025-05-13T00:00:00,2025,27.3
2021,A,0,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year; 2023 population figures (revised as of July 2024) used from the United Nations Population Division - World Population Prospects database to calculate ratios; Ratios can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYR_LC,24,None,Y0T45,None,None,RO,2025-05-13T00:00:00,2025,0.23029
2022,A,0,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year; 2023 population figures (revised as of July 2024) used from the United Nations Population Division - World Population Prospects database to calculate ratios; Ratios can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYR_LC,24,None,Y0T45,None,None,RO,2025-05-13T00:00:00,2025,0.23029
2025,A,0,"Unicameral: - (National Assembly), Data valid as of 1 Jan of given year; 2023 population figures (revised as of July 2024) used from the United Nations Population Division - World Population Prospects database to calculate ratios; Ratios can be interpreted as follows:  
-	0 means no representation at all of ‘youth’ (45 years and below) in parliament 
-	1 means perfectly proportional representation of ‘youth’ (45 years and below) in parliament 
-	<1 means under-representation of ‘youth’ (45 years and below) in parliament 
-	>1 means over-representation of ‘youth’ (45 years and below) in parliament","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLYR_LC,24,None,Y0T45,None,None,RO,2025-05-13T00:00:00,2025,0.36675
2019,A,0,84 - Public administration and defence; compulsory social security,Labour Force Survey https://ilostat.ilo.org/topics/population-and-labour-force/LFS - Employment Survey,SG_DMK_PSRVC,24,F,None,AGG_PSP,None,RO,2025-03-24T00:00:00,2021,0.35496
2021,A,0,84 - Public administration and defence; compulsory social security,Labour Force Survey https://ilostat.ilo.org/topics/population-and-labour-force/LFS - Employment Survey,SG_DMK_PSRVC,24,F,None,AGG_PSP,None,RO,2025-03-24T00:00:00,2021,0.32581
2019,A,0,84 - Public administration and defence; compulsory social security,Labour Force Survey https://ilostat.ilo.org/topics/population-and-labour-force/LFS - Employment Survey,SG_DMK_PSRVC,24,M,None,AGG_PSP,None,RO,2025-03-24T00:00:00,2021,1.64504
2021,A,0,84 - Public administration and defence; compulsory social security,Labour Force Survey https://ilostat.ilo.org/topics/population-and-labour-force/LFS - Employment Survey,SG_DMK_PSRVC,24,M,None,AGG_PSP,None,RO,2025-03-24T00:00:00,2021,1.67419
