Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,24,PT,2025-03-26T00:00:00,2019,43.15923056
2001,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,24,PT,2025-03-26T00:00:00,2019,34.03899952
2002,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,24,PT,2025-03-26T00:00:00,2019,26.62066592
2003,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,24,PT,2025-03-26T00:00:00,2019,29.58056719
2004,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,24,PT,2025-03-26T00:00:00,2019,27.69780001
2005,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,24,PT,2025-03-26T00:00:00,2019,24.42501626
2006,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,24,PT,2025-03-26T00:00:00,2019,46.10284382
2007,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,24,PT,2025-03-26T00:00:00,2019,44.98660198
2008,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,24,PT,2025-03-26T00:00:00,2019,42.66761058
2009,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,24,PT,2025-03-26T00:00:00,2019,22.2507474
2010,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,24,PT,2025-03-26T00:00:00,2019,34.9944429
2011,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,24,PT,2025-03-26T00:00:00,2019,44.59228583
2012,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,24,PT,2025-03-26T00:00:00,2019,36.22542473
2013,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,24,PT,2025-03-26T00:00:00,2019,35.70586382
2014,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,24,PT,2025-03-26T00:00:00,2019,30.88454851
2015,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,24,PT,2025-03-26T00:00:00,2019,18.77664517
2016,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,24,PT,2025-03-26T00:00:00,2019,15.72076897
2017,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,24,PT,2025-03-26T00:00:00,2019,16.36060549
2018,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,24,PT,2025-03-26T00:00:00,2019,21.04334573
2019,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,24,PT,2025-03-26T00:00:00,2019,20.21895849
2000,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,24,CUR_LCU,2025-03-26T00:00:00,2019,48389.05391
2001,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,24,CUR_LCU,2025-03-26T00:00:00,2019,82063.850468
2002,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,24,CUR_LCU,2025-03-26T00:00:00,2019,177130.0
2003,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,24,CUR_LCU,2025-03-26T00:00:00,2019,393108.0
2004,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,24,CUR_LCU,2025-03-26T00:00:00,2019,544974.0
2005,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,24,CUR_LCU,2025-03-26T00:00:00,2019,787060.0
2006,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,24,CUR_LCU,2025-03-26T00:00:00,2019,1940820.0
2007,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,24,CUR_LCU,2025-03-26T00:00:00,2019,2252180.0
2008,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,24,CUR_LCU,2025-03-26T00:00:00,2019,2834560.0
2009,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,24,CUR_LCU,2025-03-26T00:00:00,2019,1241000.0
2010,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,24,CUR_LCU,2025-03-26T00:00:00,2019,2695150.0
2011,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,24,CUR_LCU,2025-03-26T00:00:00,2019,4682610.0
2012,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,24,CUR_LCU,2025-03-26T00:00:00,2019,4428540.0
2013,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,24,CUR_LCU,2025-03-26T00:00:00,2019,4711390.0
2014,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,24,CUR_LCU,2025-03-26T00:00:00,2019,4423860.0
2015,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,24,CUR_LCU,2025-03-26T00:00:00,2019,2619400.0
2016,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,24,CUR_LCU,2025-03-26T00:00:00,2019,2601720.0
2017,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,24,CUR_LCU,2025-03-26T00:00:00,2019,3315030.0
2018,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,24,CUR_LCU,2025-03-26T00:00:00,2019,5634990.0
2019,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,24,CUR_LCU,2025-03-26T00:00:00,2019,6609490.0
