Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.122808
2001,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.105509
2002,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.128172
2003,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.125337
2004,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.146177
2005,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.229346
2006,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.262544
2007,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.316416
2008,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.395258
2009,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.324627
2010,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.330774
2011,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.367189
2012,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.384193
2013,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.360217
2014,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.311209
2015,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,24,PT,2025-03-19T00:00:00,2023,0.200297
