Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2006,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,None,PER_100_POP,2025-03-03T00:00:00,2023,0.03726
2007,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,None,PER_100_POP,2025-03-03T00:00:00,2023,0.05631
2008,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,None,PER_100_POP,2025-03-03T00:00:00,2023,0.07388
2009,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,None,PER_100_POP,2025-03-03T00:00:00,2023,0.06692
2010,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,None,PER_100_POP,2025-03-03T00:00:00,2023,0.06439
2011,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,None,PER_100_POP,2025-03-03T00:00:00,2023,0.06531
2012,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,None,PER_100_POP,2025-03-03T00:00:00,2023,0.08147
2013,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,None,PER_100_POP,2025-03-03T00:00:00,2023,0.08516
2014,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,None,PER_100_POP,2025-03-03T00:00:00,2023,0.32308
2015,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,None,PER_100_POP,2025-03-03T00:00:00,2023,0.54539
2016,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,None,PER_100_POP,2025-03-03T00:00:00,2023,0.29032
2017,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,None,PER_100_POP,2025-03-03T00:00:00,2023,0.32055
2018,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,None,PER_100_POP,2025-03-03T00:00:00,2023,0.35007
2019,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,None,PER_100_POP,2025-03-03T00:00:00,2023,0.36777
2020,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,None,PER_100_POP,2025-03-03T00:00:00,2023,0.36326
2021,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,None,PER_100_POP,2025-03-03T00:00:00,2023,0.39093
2022,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,None,PER_100_POP,2025-03-03T00:00:00,2023,0.3867
2023,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,None,PER_100_POP,2025-03-03T00:00:00,2023,0.37367
2011,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,0.03448
2012,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,0.04282
2013,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,0.05668
2014,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,0.11349
2015,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,0.04674
2016,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,0.06888
2017,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,0.10979
2018,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,0.11439
2019,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,0.08769
2020,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,0.08807
2021,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,0.08892
2022,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,0.06202
2023,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_256KT2M,PER_100_POP,2025-03-03T00:00:00,2023,0.07152
2011,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_2MT10M,PER_100_POP,2025-03-03T00:00:00,2023,0.00887
2012,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_2MT10M,PER_100_POP,2025-03-03T00:00:00,2023,0.01153
2013,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_2MT10M,PER_100_POP,2025-03-03T00:00:00,2023,0.01529
2014,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_2MT10M,PER_100_POP,2025-03-03T00:00:00,2023,0.02491
2015,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_2MT10M,PER_100_POP,2025-03-03T00:00:00,2023,0.09693
2016,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_2MT10M,PER_100_POP,2025-03-03T00:00:00,2023,0.19096
2017,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_2MT10M,PER_100_POP,2025-03-03T00:00:00,2023,0.16787
2018,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_2MT10M,PER_100_POP,2025-03-03T00:00:00,2023,0.17337
2019,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_2MT10M,PER_100_POP,2025-03-03T00:00:00,2023,0.22116
2020,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_2MT10M,PER_100_POP,2025-03-03T00:00:00,2023,0.15263
2021,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_2MT10M,PER_100_POP,2025-03-03T00:00:00,2023,0.14329
2022,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_2MT10M,PER_100_POP,2025-03-03T00:00:00,2023,0.16231
2023,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_2MT10M,PER_100_POP,2025-03-03T00:00:00,2023,0.21228
2011,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_GE10M,PER_100_POP,2025-03-03T00:00:00,2023,1.65e-05
2012,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_GE10M,PER_100_POP,2025-03-03T00:00:00,2023,2.38e-05
2013,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_GE10M,PER_100_POP,2025-03-03T00:00:00,2023,3.44e-05
2014,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_GE10M,PER_100_POP,2025-03-03T00:00:00,2023,0.00472
2015,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_GE10M,PER_100_POP,2025-03-03T00:00:00,2023,0.01139
2016,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_GE10M,PER_100_POP,2025-03-03T00:00:00,2023,0.03048
2017,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_GE10M,PER_100_POP,2025-03-03T00:00:00,2023,0.0429
2018,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_GE10M,PER_100_POP,2025-03-03T00:00:00,2023,0.0565
2019,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_GE10M,PER_100_POP,2025-03-03T00:00:00,2023,0.05891
2020,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_GE10M,PER_100_POP,2025-03-03T00:00:00,2023,0.12256
2021,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_GE10M,PER_100_POP,2025-03-03T00:00:00,2023,0.15871
2022,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_GE10M,PER_100_POP,2025-03-03T00:00:00,2023,0.16237
2023,A,0,Data based on the ITU DataHub,IT_NET_BBND,24,IS_GE10M,PER_100_POP,2025-03-03T00:00:00,2023,0.08987
2006,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,None,NUMBER,2025-03-24T00:00:00,2023,7458.0
2007,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,None,NUMBER,2025-03-24T00:00:00,2023,11700.0
2008,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,None,NUMBER,2025-03-24T00:00:00,2023,15942.0
2009,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,None,NUMBER,2025-03-24T00:00:00,2023,15000.0
2010,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,None,NUMBER,2025-03-24T00:00:00,2023,15000.0
2011,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,None,NUMBER,2025-03-24T00:00:00,2023,15817.0
2012,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,None,NUMBER,2025-03-24T00:00:00,2023,20512.0
2013,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,None,NUMBER,2025-03-24T00:00:00,2023,22282.0
2014,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,None,NUMBER,2025-03-24T00:00:00,2023,87750.0
2015,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,None,NUMBER,2025-03-24T00:00:00,2023,153571.0
2016,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,None,NUMBER,2025-03-24T00:00:00,2023,84724.0
2017,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,None,NUMBER,2025-03-24T00:00:00,2023,96919.0
2018,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,None,NUMBER,2025-03-24T00:00:00,2023,109561.0
2019,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,None,NUMBER,2025-03-24T00:00:00,2023,119068.0
2020,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,None,NUMBER,2025-03-24T00:00:00,2023,121516.0
2021,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,None,NUMBER,2025-03-24T00:00:00,2023,134996.0
2022,A,0,Angolan Institute of Communications,IT_NET_BBNDN,24,None,NUMBER,2025-03-24T00:00:00,2023,137800.0
