Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,24,F,PT,2025-04-21T00:00:00,2025,15.45
2001,A,0,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,24,F,PT,2025-04-21T00:00:00,2025,15.45
2002,A,0,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,24,F,PT,2025-04-21T00:00:00,2025,15.45
2003,A,0,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,24,F,PT,2025-04-21T00:00:00,2025,15.45
2004,A,0,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,24,F,PT,2025-04-21T00:00:00,2025,15.45
2005,A,0,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,24,F,PT,2025-04-21T00:00:00,2025,15.0
2006,A,0,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,24,F,PT,2025-04-21T00:00:00,2025,15.0
2007,A,0,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,24,F,PT,2025-04-21T00:00:00,2025,15.0
2008,A,0,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,24,F,PT,2025-04-21T00:00:00,2025,15.0
2009,A,0,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,24,F,PT,2025-04-21T00:00:00,2025,37.27
2010,A,0,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,24,F,PT,2025-04-21T00:00:00,2025,38.64
