Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,DISABILITY_STATUS,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2004,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,23.64
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,3.78
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,9.43
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,16.77
2014,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,9.58
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,16.5
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,15.8
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,14.12
2004,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y_GE25,None,PT,2025-03-15T00:00:00,2022,11.39
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y_GE25,None,PT,2025-03-15T00:00:00,2022,2.14
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y_GE25,None,PT,2025-03-15T00:00:00,2022,5.61
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y_GE25,None,PT,2025-03-15T00:00:00,2022,8.11
2014,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y_GE25,None,PT,2025-03-15T00:00:00,2022,7.58
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y_GE25,None,PT,2025-03-15T00:00:00,2022,11.33
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y_GE25,None,PT,2025-03-15T00:00:00,2022,11.02
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y_GE25,None,PT,2025-03-15T00:00:00,2022,9.78
2004,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y15T24,None,PT,2025-03-15T00:00:00,2022,54.31
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y15T24,None,PT,2025-03-15T00:00:00,2022,9.14
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y15T24,None,PT,2025-03-15T00:00:00,2022,19.42
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y15T24,None,PT,2025-03-15T00:00:00,2022,34.76
2014,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y15T24,None,PT,2025-03-15T00:00:00,2022,17.33
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y15T24,None,PT,2025-03-15T00:00:00,2022,31.2
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y15T24,None,PT,2025-03-15T00:00:00,2022,29.58
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,None,Y15T24,None,PT,2025-03-15T00:00:00,2022,26.61
2004,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_TLF_UEM,24,F,Y_GE15,None,PT,2025-03-15T00:00:00,2022,26.13
