Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,117.50999999999998
2001,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,848.4000000000002
2002,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,-344.44
2003,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,443.053
2004,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,1084.913
2005,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,1667.9930000000002
2006,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,777.0399999999998
2007,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,-290.445991
2008,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,2983.3203470000003
2009,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,3582.546842
2010,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,905.8400000000006
2011,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,3177.538057479393
2012,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,257.8589382179935
2013,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,5642.426762122348
2014,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,5360.477112071023
2015,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,-1389.939808
2016,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,4614.243861439976
2017,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,476.04454768844863
2018,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,-652.3553557
2019,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,426.8647464611661
2020,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,-1221.774834
2021,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,-278.2135273
2022,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,537.1592893838337
2023,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,24,USD,2025-05-19T00:00:00,2023,12463.055838180258
