Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2000,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,0.1
2001,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,0.1
2002,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,0.3
2003,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,0.4
2004,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,0.5
2005,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,1.1
2006,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,1.5
2007,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,1.7
2008,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,1.9
2009,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,2.3
2010,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,2.8
2011,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,4.7
2012,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,7.7
2013,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,13.0
2014,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,21.4
2015,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,22.0
2016,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,23.2
2017,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,26.0
2018,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,29.0
2019,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,32.1
2020,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,36.6
2021,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,39.4
2022,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,42.1
2023,A,0,ITU estimate.,IT_USE_II99,24,None,PT,2025-03-08T00:00:00,2023,Estimated based on DHS.,44.8
2014,A,0,Instituto Nacional de Estatística,IT_USE_II99,24,F,PT,2025-03-08T00:00:00,2014,,20.2
2014,A,0,Instituto Nacional de Estatística,IT_USE_II99,24,M,PT,2025-03-08T00:00:00,2014,,22.4
