Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2001,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,17.2
2002,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,15.5
2003,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,13.7
2004,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,12.8
2005,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,11.4
2006,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,11.1
2007,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,10.8
2008,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,10.4
2009,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,10.2
2010,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,9.8
2011,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,9.6
2012,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,9.5
2013,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,9.3
2014,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,9.3
2015,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,9.2
2016,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,9.7
2017,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,10.6
2018,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,11.4
2019,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,11.5
2020,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,10.8
2021,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,10.4
2022,O,0,NaN = A figure was not provided,NA,SN_ITK_DEFC,204,PT,2025-03-21T00:00:00,2022-2024,10.3
