Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,24,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.2
2001,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,24,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.3
2002,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,24,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.3
2003,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,24,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.3
2004,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,24,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.3
2005,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,24,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.4
2006,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,24,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.3
2007,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,24,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.3
2008,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,24,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.3
2009,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,24,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.3
2010,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,24,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.2
