Year,OBS_STATUS,UNIT_MULT,BASE_PER,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2006,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,24,CON_USD,2025-05-19T00:00:00,2023,1.286846
2007,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,24,CON_USD,2025-05-19T00:00:00,2023,1.187526
2008,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,24,CON_USD,2025-05-19T00:00:00,2023,1.657035
2009,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,24,CON_USD,2025-05-19T00:00:00,2023,1.778415
2010,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,24,CON_USD,2025-05-19T00:00:00,2023,1.629604
2011,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,24,CON_USD,2025-05-19T00:00:00,2023,1.281713
2012,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,24,CON_USD,2025-05-19T00:00:00,2023,1.750337
2013,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,24,CON_USD,2025-05-19T00:00:00,2023,2.064404
2014,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,24,CON_USD,2025-05-19T00:00:00,2023,2.112595
2015,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,24,CON_USD,2025-05-19T00:00:00,2023,2.170631
2016,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,24,CON_USD,2025-05-19T00:00:00,2023,2.282703
2017,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,24,CON_USD,2025-05-19T00:00:00,2023,3.112449
2018,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,24,CON_USD,2025-05-19T00:00:00,2023,3.562877
2019,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,24,CON_USD,2025-05-19T00:00:00,2023,4.338833
2020,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,24,CON_USD,2025-05-19T00:00:00,2023,4.25833
2021,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,24,CON_USD,2025-05-19T00:00:00,2023,4.112802
2022,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,24,CON_USD,2025-05-19T00:00:00,2023,5.243773
2023,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,24,CON_USD,2025-05-19T00:00:00,2023,4.913372
