Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2000,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,24.2
2001,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,20.0
2002,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,26.3
2003,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,27.4
2004,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,28.4
2005,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,29.4
2006,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,30.5
2007,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,37.5
2008,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,38.5
2009,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,33.8
2010,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,35.0
2011,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,34.6
2012,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,37.3
2013,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,38.4
2014,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,32.0
2015,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,42.0
2016,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,41.8
2017,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,42.9
2018,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,45.3
2019,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,45.6
2020,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,47.0
2021,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,48.2
2022,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,48.46912
2023,A,0,World Bank,EG_ACS_ELEC,24,None,PT,2025-05-19T00:00:00,2023,,51.08127
2000,A,0,World Bank,EG_ACS_ELEC,24,R,PT,2025-05-19T00:00:00,2023,Data point is not available,3.5
2001,A,0,World Bank,EG_ACS_ELEC,24,R,PT,2025-05-19T00:00:00,2023,Data point is not available,9.5
2002,A,0,World Bank,EG_ACS_ELEC,24,R,PT,2025-05-19T00:00:00,2023,Data point is not available,2.8
2003,A,0,World Bank,EG_ACS_ELEC,24,R,PT,2025-05-19T00:00:00,2023,Data point is not available,2.3
2004,A,0,World Bank,EG_ACS_ELEC,24,R,PT,2025-05-19T00:00:00,2023,Data point is not available,1.7
2005,A,0,World Bank,EG_ACS_ELEC,24,R,PT,2025-05-19T00:00:00,2023,Data point is not available,1.0
2006,A,0,World Bank,EG_ACS_ELEC,24,R,PT,2025-05-19T00:00:00,2023,Data point is not available,0.7
2008,A,0,World Bank,EG_ACS_ELEC,24,R,PT,2025-05-19T00:00:00,2023,Data point is not available,6.6
2015,A,0,World Bank,EG_ACS_ELEC,24,R,PT,2025-05-19T00:00:00,2023,Data point is not available,3.8
2018,A,0,World Bank,EG_ACS_ELEC,24,R,PT,2025-05-19T00:00:00,2023,Data point is not available,7.3
2000,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,44.9
2001,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,30.0
2002,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,47.7
2003,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,49.0
2004,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,50.4
2005,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,51.8
2006,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,53.3
2007,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,66.1
2008,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,61.3
2009,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,57.7
2010,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,73.6
2011,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,82.5
2012,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,70.3
2013,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,68.6
2014,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,51.0
2015,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,64.0
2016,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,67.9
2017,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,69.4
2018,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,65.3
2019,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,72.2
2020,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,73.6
2021,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,75.0
2022,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,76.22331
2023,A,0,World Bank,EG_ACS_ELEC,24,U,PT,2025-05-19T00:00:00,2023,,77.86183
